"source_domain","target_domain","endpoint","endpoint_label","n_lowdata_rows","n_values_used","mean_delta_cindex_lowdata","median_delta_cindex_lowdata","sd_delta_cindex_lowdata","min_delta_cindex_lowdata","max_delta_cindex_lowdata","mean_transfer_cindex_lowdata","mean_target_only_cindex_lowdata","mean_alpha_lowdata","D_physical","distance_rank","is_nearest_source","is_farthest_source","transfer_gain_sign","arrow_direction","edge_width_recommended","edge_opacity_recommended"
"HCC","Gallbladder","event_os","Overall survival",4,"100;200;300;500",0.0145292816827982,0.0102715211269303,0.0131931696782385,0.0040698937302314,0.0335041907471006,0.695790812364739,0.681261530681941,0.52175,0.447403577131581,1,TRUE,FALSE,"positive","HCC -> Gallbladder",6.379,0.633
"ICC","Gallbladder","event_os","Overall survival",4,"100;200;300;500",0.0109492930480949,0.00713935665815863,0.0110370886503513,0.00250299080653024,0.0270154680695322,0.692210823730036,0.681261530681941,0.42725,0.452171522917484,2,FALSE,FALSE,"positive","ICC -> Gallbladder",5.3,0.539
"Panc_Head","Gallbladder","event_os","Overall survival",4,"100;200;300;500",0.0118941077267818,0.00765990759757421,0.0119440912439115,0.00305491342641959,0.029201702285559,0.693155638408722,0.681261530681941,0.456,0.504937694252369,3,FALSE,FALSE,"positive","Panc_Head -> Gallbladder",5.585,0.564
"Panc_Body","Gallbladder","event_os","Overall survival",4,"100;200;300;500",0.0159134932983085,0.0110884678034927,0.0147429322691258,0.00441478436726174,0.0370622532189866,0.697175023980249,0.681261530681941,0.607,0.690495928056338,4,FALSE,FALSE,"positive","Panc_Body -> Gallbladder",6.796,0.67
"Panc_Tail","Gallbladder","event_os","Overall survival",4,"100;200;300;500",0.0212596783195094,0.0165075231325502,0.0168933722958746,0.00699727984469684,0.0450263871682403,0.70252120900145,0.681261530681941,0.7965,1.0736764713299,5,FALSE,TRUE,"positive","Panc_Tail -> Gallbladder",8.408,0.811
"ICC","HCC","event_os","Overall survival",4,"100;200;300;500",0.0236774039399099,0.0209655299194084,0.015769491935831,0.00795040104910339,0.0448281548717195,0.665906437469622,0.642229033529712,0.81575,0.226766139971701,1,TRUE,FALSE,"positive","ICC -> HCC",9.137,0.874
"Gallbladder","HCC","event_os","Overall survival",4,"100;200;300;500",0.0268300811926875,0.0242308740930475,0.0161514631740288,0.0104658874166373,0.0483926891680176,0.669059114722399,0.642229033529712,0.81775,0.447403577131581,2,FALSE,FALSE,"positive","Gallbladder -> HCC",10,0.95
"Panc_Head","HCC","event_os","Overall survival",4,"100;200;300;500",0.0124261618585146,0.0104208065079611,0.00992411788418048,0.00293105661713489,0.0259319778010014,0.654655195388226,0.642229033529712,0.39525,0.612844660119338,3,FALSE,FALSE,"positive","Panc_Head -> HCC",5.745,0.578
"Panc_Body","HCC","event_os","Overall survival",4,"100;200;300;500",0.020356602311754,0.0175722497284663,0.0144879191218985,0.0062910983148952,0.0399908114751881,0.662585635841465,0.642229033529712,0.63425,0.676896449050609,4,FALSE,FALSE,"positive","Panc_Body -> HCC",8.136,0.787
"Panc_Tail","HCC","event_os","Overall survival",4,"100;200;300;500",0.023597332918033,0.020826073860848,0.0154700393186898,0.00831405594619438,0.0444231280042416,0.665826366447745,0.642229033529712,0.721,0.987006776074949,5,FALSE,TRUE,"positive","Panc_Tail -> HCC",9.112,0.872
