"endpoint","endpoint_label","distance_rank","n_pairs","mean_delta_cindex","median_delta_cindex","sd_delta_cindex","min_delta_cindex","max_delta_cindex","bootstrap_ci_low","bootstrap_ci_high","positive_pair_count","positive_pair_fraction"
"event_css","Cancer-specific survival",1,6,0.0233811234848987,0.0250161174542934,0.0047164976636909,0.0156455825141792,0.0285866714872145,0.0198374673654921,0.0264324524638392,6,1
"event_css","Cancer-specific survival",2,6,0.019796193735783,0.0180704568057399,0.00566283245018559,0.0128863655917234,0.0269881298161935,0.0160758691498206,0.0238022653316532,6,1
"event_css","Cancer-specific survival",3,6,0.0161831572646072,0.0146320352353728,0.0040858975649999,0.0127403898990151,0.0233622035264788,0.0135121299085871,0.0194889394851004,6,1
"event_css","Cancer-specific survival",4,6,0.0199860369413732,0.0197688627100753,0.00454389391477604,0.0152896842143341,0.0246870298045943,0.016959353563261,0.0230127203194853,6,1
"event_css","Cancer-specific survival",5,6,0.0210435196008834,0.0210568320120154,0.00317345119828633,0.0158554709525569,0.0254117269114209,0.0186622651890612,0.0232839184013928,6,1
"event_os","Overall survival",1,6,0.022479629233377,0.0237750679809733,0.00459711019155495,0.0145292816827982,0.0278892057679542,0.0187282881763324,0.0254448596240851,6,1
"event_os","Overall survival",2,6,0.0197153913157632,0.0187910639845009,0.00601177107395561,0.0109492930480949,0.0268300811926875,0.0154938661916362,0.0239369164398902,6,1
"event_os","Overall survival",3,6,0.0158981665179412,0.0144735735035547,0.00425358798870445,0.0118941077267818,0.0225647298858777,0.0131137629580892,0.0190300046958142,6,1
"event_os","Overall survival",4,6,0.0189840657235293,0.0181350478050313,0.00405241797885888,0.0147971926491349,0.0239938613784794,0.0162088143645873,0.0220344286260207,6,1
"event_os","Overall survival",5,6,0.0210075666086434,0.021024059993659,0.00254599583709298,0.0167925454060001,0.0236144941142904,0.0189963241307882,0.0226714369088335,6,1
