"endpoint","metric","source_domain","Gallbladder","HCC","ICC","Panc_Body","Panc_Head","Panc_Tail"
"event_css","mean_delta_cindex_lowdata","HCC",0.0156455825141792,,0.024952490492582,0.0245822684437864,0.0152896842143341,0.0158195137653737
"event_css","mean_delta_cindex_lowdata","ICC",0.0128863655917234,0.0260658046510036,,0.0233622035264788,0.0164910216739265,0.0141498626534381
"event_css","mean_delta_cindex_lowdata","Panc_Head",0.0127403898990151,0.0151142078173075,0.0185683151000305,0.0285866714872145,,0.0170534644654427
"event_css","mean_delta_cindex_lowdata","Panc_Body",0.0165672843482767,0.0229704410718739,0.0246870298045943,,0.0250797444160048,0.019956447348408
"event_css","mean_delta_cindex_lowdata","Panc_Tail",0.0205867414646261,0.0254117269114209,0.0215269225594047,0.026270731721375,0.0200984949453703,
"event_css","mean_delta_cindex_lowdata","Gallbladder",,0.0269881298161935,0.0190874491460371,0.0227817607719214,0.0131639645913733,0.0158554709525569
"event_css","distance_rank","HCC",1,,1,4,4,4
"event_css","distance_rank","ICC",2,1,,3,2,3
"event_css","distance_rank","Panc_Head",3,3,3,1,,2
"event_css","distance_rank","Panc_Body",4,4,4,,1,1
"event_css","distance_rank","Panc_Tail",5,5,5,2,5,
"event_css","distance_rank","Gallbladder",,2,2,5,3,5
"event_css","D_physical","HCC",0.447403577131581,,0.226766139971701,0.676896449050609,0.612844660119338,0.987006776074949
"event_css","D_physical","ICC",0.452171522917484,0.226766139971701,,0.470579364911125,0.462214288663647,0.791272310087412
"event_css","D_physical","Panc_Head",0.504937694252369,0.612844660119338,0.462214288663647,0.317787346374979,,0.669555881220056
"event_css","D_physical","Panc_Body",0.690495928056338,0.676896449050609,0.470579364911125,,0.317787346374979,0.416791188699131
"event_css","D_physical","Panc_Tail",1.0736764713299,0.987006776074949,0.791272310087412,0.416791188699131,0.669555881220056,
"event_css","D_physical","Gallbladder",,0.447403577131581,0.452171522917484,0.690495928056338,0.504937694252369,1.0736764713299
"event_os","mean_delta_cindex_lowdata","HCC",0.0145292816827982,,0.0238727320220368,0.0239938613784794,0.0156942026395957,0.0147971926491349
"event_os","mean_delta_cindex_lowdata","ICC",0.0109492930480949,0.0236774039399099,,0.0225647298858777,0.0167412415423127,0.013978715434908
"event_os","mean_delta_cindex_lowdata","Panc_Head",0.0118941077267818,0.0124261618585146,0.0195568526293633,0.0278892057679542,,0.0181690086357511
"event_os","mean_delta_cindex_lowdata","Panc_Body",0.0159134932983085,0.020356602311754,0.0231490420639035,,0.0246703051233276,0.0202388468642352
"event_os","mean_delta_cindex_lowdata","Panc_Tail",0.0212596783195094,0.023597332918033,0.0207884416678086,0.0261896041424821,0.0199929072262192,
"event_os","mean_delta_cindex_lowdata","Gallbladder",,0.0268300811926875,0.0194131193332508,0.0236144941142904,0.0149684315722015,0.0167925454060001
"event_os","distance_rank","HCC",1,,1,4,4,4
"event_os","distance_rank","ICC",2,1,,3,2,3
"event_os","distance_rank","Panc_Head",3,3,3,1,,2
"event_os","distance_rank","Panc_Body",4,4,4,,1,1
"event_os","distance_rank","Panc_Tail",5,5,5,2,5,
"event_os","distance_rank","Gallbladder",,2,2,5,3,5
"event_os","D_physical","HCC",0.447403577131581,,0.226766139971701,0.676896449050609,0.612844660119338,0.987006776074949
"event_os","D_physical","ICC",0.452171522917484,0.226766139971701,,0.470579364911125,0.462214288663647,0.791272310087412
"event_os","D_physical","Panc_Head",0.504937694252369,0.612844660119338,0.462214288663647,0.317787346374979,,0.669555881220056
"event_os","D_physical","Panc_Body",0.690495928056338,0.676896449050609,0.470579364911125,,0.317787346374979,0.416791188699131
"event_os","D_physical","Panc_Tail",1.0736764713299,0.987006776074949,0.791272310087412,0.416791188699131,0.669555881220056,
"event_os","D_physical","Gallbladder",,0.447403577131581,0.452171522917484,0.690495928056338,0.504937694252369,1.0736764713299
